crate, [ClosureCreation], [FFI Call], [FFI Declaration], [FnPtrCreation], [PtrDeref], [StaticMutVar], [UnionField], [UnsafeCall], libc, std::env, std::ffi, std::fs, std::io, std::mem, std::net, std::os, std::panic, std::path, std::process
rand, 1, 1, 0, 3, 4, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
syn, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rand_core, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
libc, 0, 19, 5849, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cfg-if, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
quote, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
proc-macro2, 0, 0, 0, 3, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
unicode-xid, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
serde, 0, 0, 0, 12, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 5, 0
autocfg, 3, 0, 0, 4, 0, 0, 0, 0, 0, 8, 0, 3, 3, 0, 0, 0, 0, 4, 15
bitflags, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rand_chacha, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
log, 0, 3, 0, 14, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
lazy_static, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itoa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
getrandom, 9, 17, 1, 2, 0, 0, 0, 90, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
serde_derive, 3, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
memchr, 0, 0, 0, 2, 2, 0, 0, 868, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
time, 3, 4, 0, 21, 0, 0, 2, 10, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
base64, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0
serde_json, 1, 3, 0, 44, 0, 0, 0, 4, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0
num-traits, 0, 6, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
