crate, [ClosureCreation], [FFI Call], [FFI Declaration], [FnPtrCreation], [PtrDeref], [UnsafeCall], std::env, std::ffi, std::fs, std::io, std::os, std::panic, std::path, std::process
rand, 1, 1, 0, 3, 4, 6, 0, 0, 0, 1, 0, 0, 0, 0
syn, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rand_core, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0
libc, 0, 19, 5849, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0
cfg-if, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
quote, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
proc-macro2, 0, 0, 0, 3, 0, 8, 0, 0, 0, 0, 0, 1, 1, 0
unicode-xid, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
serde, 0, 0, 0, 12, 0, 2, 0, 1, 0, 0, 1, 0, 5, 0
autocfg, 3, 0, 0, 4, 0, 0, 8, 0, 3, 3, 0, 0, 4, 15
